array_type,time,element_size
SQ, 0.001292, 40000
HAT, 0.001368, 40000
MSarray_2, 0.001784, 40000
MSarray_3, 0.002075, 40000
MSarray_4, 0.002338, 40000
geo, 0.001110, 40000
base, 0.000009, 100000
mono, 0.002731, 100000
sliced, 0.003605, 100000
SQ, 0.003119, 100000
HAT, 0.003486, 100000
MSarray_2, 0.002696, 100000
MSarray_3, 0.005147, 100000
MSarray_4, 0.005454, 100000
geo, 0.002699, 100000
base, 0.000008, 200000
mono, 0.005305, 200000
sliced, 0.006400, 200000
SQ, 0.005729, 200000
HAT, 0.007991, 200000
MSarray_2, 0.007328, 200000
MSarray_3, 0.008228, 200000
MSarray_4, 0.009267, 200000
geo, 0.005344, 200000
base, 0.000004, 400000
mono, 0.010625, 400000
sliced, 0.012424, 400000
SQ, 0.011545, 400000
HAT, 0.011651, 400000
MSarray_2, 0.013699, 400000
MSarray_3, 0.015691, 400000
MSarray_4, 0.015301, 400000
geo, 0.010833, 400000
base, 0.000005, 1000000
mono, 0.021411, 1000000
sliced, 0.026999, 1000000
SQ, 0.025593, 1000000
HAT, 0.023941, 1000000
MSarray_2, 0.027983, 1000000
MSarray_3, 0.030234, 1000000
MSarray_4, 0.031218, 1000000
geo, 0.025002, 1000000
base, 0.000008, 100
mono, 0.000011, 100
sliced, 0.000026, 100
SQ, 0.000014, 100
HAT, 0.000017, 100
MSarray_2, 0.000061, 100
MSarray_3, 0.000014, 100
MSarray_4, 0.000014, 100
geo, 0.000014, 100
base, 0.000009, 200
mono, 0.000011, 200
sliced, 0.000019, 200
SQ, 0.000020, 200
HAT, 0.000018, 200
MSarray_2, 0.000025, 200
MSarray_3, 0.000024, 200
MSarray_4, 0.000022, 200
geo, 0.000012, 200
base, 0.000008, 400
mono, 0.000011, 400
sliced, 0.000027, 400
SQ, 0.000027, 400
HAT, 0.000028, 400
MSarray_2, 0.000037, 400
MSarray_3, 0.000031, 400
MSarray_4, 0.000034, 400
geo, 0.000015, 400
base, 0.000006, 1000
mono, 0.000042, 1000
sliced, 0.000050, 1000
SQ, 0.000031, 1000
HAT, 0.000057, 1000
MSarray_2, 0.000072, 1000
MSarray_3, 0.000071, 1000
MSarray_4, 0.000072, 1000
geo, 0.000044, 1000
base, 0.000009, 2000
mono, 0.000074, 2000
sliced, 0.000060, 2000
SQ, 0.000082, 2000
HAT, 0.000115, 2000
MSarray_2, 0.000091, 2000
MSarray_3, 0.000124, 2000
MSarray_4, 0.000129, 2000
geo, 0.000073, 2000
base, 0.000009, 4000
mono, 0.000106, 4000
sliced, 0.000117, 4000
SQ, 0.000128, 4000
HAT, 0.000164, 4000
MSarray_2, 0.000189, 4000
MSarray_3, 0.000255, 4000
MSarray_4, 0.000310, 4000
geo, 0.000169, 4000
base, 0.000009, 10000
mono, 0.000310, 10000
sliced, 0.000481, 10000
SQ, 0.000311, 10000
HAT, 0.000393, 10000
MSarray_2, 0.000459, 10000
MSarray_3, 0.000536, 10000
MSarray_4, 0.000679, 10000
geo, 0.000400, 10000
base, 0.000008, 20000
mono, 0.000565, 20000
sliced, 0.000566, 20000
SQ, 0.000562, 20000
HAT, 0.000776, 20000
MSarray_2, 0.000954, 20000
MSarray_3, 0.001250, 20000
MSarray_4, 0.001141, 20000
geo, 0.000611, 20000
base, 0.000008, 40000
mono, 0.001041, 40000
sliced, 0.001549, 40000
SQ, 0.001190, 40000
HAT, 0.001344, 40000
MSarray_2, 0.001828, 40000
MSarray_3, 0.002643, 40000
MSarray_4, 0.002074, 40000
geo, 0.001187, 40000
base, 0.000009, 100000
mono, 0.002770, 100000
sliced, 0.003264, 100000
SQ, 0.002264, 100000
HAT, 0.003365, 100000
MSarray_2, 0.003183, 100000
MSarray_3, 0.004794, 100000
MSarray_4, 0.005120, 100000
geo, 0.002765, 100000
base, 0.000009, 200000
mono, 0.005582, 200000
sliced, 0.005631, 200000
SQ, 0.006128, 200000
HAT, 0.005956, 200000
MSarray_2, 0.007088, 200000
MSarray_3, 0.008239, 200000
MSarray_4, 0.008322, 200000
geo, 0.005215, 200000
base, 0.000010, 400000
mono, 0.010306, 400000
sliced, 0.012905, 400000
SQ, 0.011119, 400000
HAT, 0.012870, 400000
MSarray_2, 0.012524, 400000
MSarray_3, 0.014022, 400000
MSarray_4, 0.014949, 400000
geo, 0.010957, 400000
base, 0.000005, 1000000
mono, 0.024343, 1000000
sliced, 0.026169, 1000000
SQ, 0.024665, 1000000
HAT, 0.025806, 1000000
MSarray_2, 0.027642, 1000000
MSarray_3, 0.030647, 1000000
MSarray_4, 0.032135, 1000000
geo, 0.024105, 1000000
base, 0.000005, 100
mono, 0.000008, 100
sliced, 0.000019, 100
SQ, 0.000040, 100
HAT, 0.000014, 100
MSarray_2, 0.000023, 100
MSarray_3, 0.000017, 100
MSarray_4, 0.000014, 100
geo, 0.000011, 100
base, 0.000005, 200
mono, 0.000014, 200
sliced, 0.000015, 200
SQ, 0.000019, 200
HAT, 0.000016, 200
MSarray_2, 0.000024, 200
MSarray_3, 0.000012, 200
MSarray_4, 0.000020, 200
geo, 0.000011, 200
base, 0.000009, 400
mono, 0.000020, 400
sliced, 0.000025, 400
SQ, 0.000021, 400
HAT, 0.000026, 400
MSarray_2, 0.000039, 400
MSarray_3, 0.000030, 400
MSarray_4, 0.000030, 400
geo, 0.000019, 400
base, 0.000009, 1000
mono, 0.000034, 1000
sliced, 0.000037, 1000
SQ, 0.000046, 1000
HAT, 0.000055, 1000
MSarray_2, 0.000056, 1000
MSarray_3, 0.000072, 1000
