array_type,time,element_size,checksum
mono, 0.006442, 752, 549770476255
sliced, 0.011285, 752, 549770476255
SQ, 0.002897, 752, 549770476255
HAT, 0.074643, 752, 549770476255
MSarray_2, 0.149833, 752, 549770476255
MSarray_3, 0.138309, 752, 549770476255
MSarray_4, 0.283783, 752, 549770476255
geo, 0.003276, 768, 549770476255
mono, 0.004839, 768, 549770476255
sliced, 0.011995, 768, 549770476255
SQ, 0.005524, 768, 549770476255
HAT, 0.050892, 768, 549770476255
MSarray_2, 0.192066, 768, 549770476255
MSarray_3, 0.130470, 768, 549770476255
MSarray_4, 0.291070, 768, 549770476255
geo, 0.004825, 784, 549770476255
mono, 0.002511, 784, 549770476255
sliced, 0.010984, 784, 549770476255
SQ, 0.005621, 784, 549770476255
HAT, 0.055400, 784, 549770476255
MSarray_2, 0.163896, 784, 549770476255
MSarray_3, 0.141561, 784, 549770476255
MSarray_4, 0.258249, 784, 549770476255
geo, 0.005194, 800, 549770476255
mono, 0.006587, 800, 549770476255
sliced, 0.008776, 800, 549770476255
SQ, 0.007708, 800, 549770476255
HAT, 0.060812, 800, 549770476255
MSarray_2, 0.167489, 800, 549770476255
MSarray_3, 0.136618, 800, 549770476255
MSarray_4, 0.306454, 800, 549770476255
geo, 0.002794, 816, 549770476255
mono, 0.005945, 816, 549770476255
sliced, 0.004202, 816, 549770476255
SQ, 0.004440, 816, 549770476255
HAT, 0.060512, 816, 549770476255
MSarray_2, 0.194136, 816, 549770476255
MSarray_3, 0.124411, 816, 549770476255
MSarray_4, 0.333475, 816, 549770476255
geo, 0.002935, 832, 549770476255
mono, 0.002913, 832, 549770476255
sliced, 0.004318, 832, 549770476255
SQ, 0.002599, 832, 549770476255
HAT, 0.061101, 832, 549770476255
MSarray_2, 0.214126, 832, 549770476255
MSarray_3, 0.204921, 832, 549770476255
MSarray_4, 0.314720, 832, 549770476255
geo, 0.004116, 848, 549770476255
mono, 0.006709, 848, 549770476255
sliced, 0.011145, 848, 549770476255
SQ, 0.007642, 848, 549770476255
HAT, 0.073555, 848, 549770476255
MSarray_2, 0.175790, 848, 549770476255
MSarray_3, 0.138276, 848, 549770476255
MSarray_4, 0.330584, 848, 549770476255
geo, 0.004887, 864, 549770476255
mono, 0.006749, 864, 549770476255
sliced, 0.009791, 864, 549770476255
SQ, 0.007332, 864, 549770476255
HAT, 0.064188, 864, 549770476255
MSarray_2, 0.176181, 864, 549770476255
MSarray_3, 0.152282, 864, 549770476255
MSarray_4, 0.318784, 864, 549770476255
geo, 0.002970, 880, 549770476255
mono, 0.005938, 880, 549770476255
sliced, 0.011922, 880, 549770476255
SQ, 0.003985, 880, 549770476255
HAT, 0.060359, 880, 549770476255
MSarray_2, 0.179047, 880, 549770476255
MSarray_3, 0.165725, 880, 549770476255
MSarray_4, 0.372615, 880, 549770476255
geo, 0.003363, 896, 549770476255
mono, 0.004137, 896, 549770476255
